Categoría,Carrera,Salario Medio Principiante,Salario Medio con Experiencia,Percentil 10 con Experiencia,Percentil 90 con Experiencia
Ingenieria y Tecnologia,Tecnologia de la Informacion,54255.5,82654,49172.5,142545
Ciencias Sociales,Sociologia,40332.5,64311,33923.5,130390
Ingenieria y Tecnologia,Sistemas de Informacion de Gestion,54366,90941.5,50056.5,161330
Negocios,Silvicultura,43205.5,69173,45305,122655
Ciencias Sociales,Religion,37680.5,57460,32818.5,106522
Ciencias Sociales,Relaciones Internacionales,45194.5,89394.5,42211,173485
Ingenieria y Tecnologia,Quimica,47073,88289.5,50056.5,163540
Ciencias Sociales,Psicologia,39669.5,66742,34918,140335
Ciencias Sociales,Periodismo,39338,73703.5,42432,160225
Ciencias Sociales,Nutricion,44089.5,61106.5,37459.5,109616
Ciencias Sociales,Musica,39669.5,60775,29503.5,148070
Ingenieria y Tecnologia,Matematicas,50167,102102,49946,202215
Negocios,Marketing,45084,87958,46520.5,193375
Ciencias Sociales,Justicia Criminal,38675,62211.5,35581,118235
Ciencias Sociales,Ingles,41990,71493.5,36907,146965
Ingenieria y Tecnologia,Ingenieria Quimica,69836,118235,79449.5,214370
Ingenieria y Tecnologia,Ingenieria Mecanica,63979.5,103428,70388.5,180115
Ingenieria y Tecnologia,Ingenieria Informatica,67847,116025,73040.5,179010
Ingenieria y Tecnologia,Ingenieria Industrial,63758.5,104643.5,63095.5,191165
Ingenieria y Tecnologia,Ingenieria Electrica,,113815,76576.5,185640
Ingenieria y Tecnologia,Ingenieria Civil,59559.5,100002.5,70057,163540
Ingenieria y Tecnologia,Ingenieria Aeroespacial,63758.5,111605,71051.5,177905
Negocios,Hospitalidad y Turismo,41769,63537.5,39227.5,137020
Ciencias Sociales,Historia del Arte,39559,71714.5,31824,138125
Ciencias Sociales,Historia,43316,78455,40885,164645
Ingenieria y Tecnologia,Geologia,48067.5,87847.5,49725,172380
Ciencias Sociales,Geografia,45526,,44200,145860
Ingenieria y Tecnologia,Fisica,55581.5,107516.5,61880,196690
Negocios,Finanzas,52929.5,97571.5,52156,215475
Ciencias Sociales,Filosofia,44089.5,89726,39227.5,185640
Ciencias Sociales,Espanol,37570,58675.5,34255,106522
Negocios,Enfermeria,59891,74035,52598,108621.5
Ciencias Sociales,Educacion,38564.5,57460,32376.5,112710
Negocios,Economia,55360.5,108953,55913,232050
Ciencias Sociales,Drama,39669.5,62874.5,40553.5,169065
Ciencias Sociales,Diseno Grafico,39448.5,66079,39780,123760
Ciencias Sociales,Diseno de Interiores,39890.5,58786,39448.5,118235
Negocios,Contabilidad,50830,85195.5,46631,167960
Negocios,Construccion,59338.5,98234.5,62211.5,188955
Ciencias Sociales,Comunicaciones,42100.5,77350,41437.5,158015
Ciencias Sociales,Cine,41879.5,75692.5,37459.5,150280
Ciencias Sociales,Ciencias Politicas,45084,86411,45526,185640
Ingenieria y Tecnologia,Ciencias de la Computacion,61769.5,105527.5,61880,170170
Ingenieria y Tecnologia,Biologia,42874,71604,40774.5,149175
Ingenieria y Tecnologia,Asistente de Medico,82101.5,101328.5,73372,137020
Negocios,Arquitectura,45968,84864,55913,150280
Ciencias Sociales,Antropologia,40664,67957.5,37349,152490
Negocios,Agricultura,47073,79449.5,40111.5,165750
Negocios,Administracion de Empresas,47515,79670.5,42874,162435
Negocios,Administracion de Atencion Medica,42874,66963,38233,111605
