Label,PIBperCapita,FuerzaLaboral
2019,10145.15263,64.4260025
2018,9857.007487,64.34600067
2017,9434.378179,64.04399872
2016,8875.082069,64.16400146
2015,9753.400562,64.13500214
2014,11076.13411,64.02500153
2013,10865.68729,64.6289978
2012,10376.0905,64.77799988
2011,10341.50024,64.02400208
2010,9399.964709,63.88299942
2009,8104.922573,64.05999756
2008,10119.82106,64.0759964
2007,9719.927864,64.39700317
2006,9125.387739,64.23200226
2005,8321.859856,63.40299988
2004,7525.487461,62.43399811
2003,7120.372121,61.79899979
2002,7650.931864,61.38199997
2001,7613.142978,61.92200089
2000,7232.910681,62.4980011
1999,6230.697201,62.54399872
1998,5555.711857,63.25999832
1997,5370.244638,63.56499863
1996,4487.26319,62.04199982
1995,4002.158718,61.92699814
1994,5976.494075,61.94900131
1993,5778.907809,61.96300125
1992,4272.788266,61.35400009
